# 0/0/0/0/0 => productType/cap(b)/ice(b)/bush(f)/rope(f)
# GoalType : Score,ComboN, ItemOneMore, ItemKeepCombo, ItemSameColor, Cap, Ice, Bush, Rope
# Reward,gold/100
# Reward,dia/5
# Reward,life/1
# Reward,1/1 2/1 3/1
# Reward,PurchaseItemType/Count
# PurchaseItemType : None, ExtendLimit, RemoveIce, MakeSkill1, KeepCombo, MakeSkill2, Meteor
GoalType,Ice
GoalValue,7
MoveLimit,0
TimeLimit,80
ColorCount,4
MatchingChance,-40
StarPoint,0
RandomSeed,0
Reward,1/1
Rows,0/0/0/0/0 0/0/0/0/0 0/0/0/0/0 2/0/0/0/0 0/0/0/0/0 0/0/0/0/0 0/0/0/0/0 
Rows,0/0/0/0/0 0/0/0/0/0 0/0/0/0/0 0/0/1/0/0 0/0/0/0/0 0/0/0/0/0 0/0/0/0/0 
Rows,0/0/0/0/0 0/0/0/0/0 0/0/0/0/0 0/0/2/0/0 0/0/0/0/0 0/0/0/0/0 0/0/0/0/0 
Rows,0/0/0/0/0 0/0/0/0/0 0/0/0/0/0 0/0/3/0/0 0/0/0/0/0 0/0/0/0/0 0/0/0/0/0 
Rows,0/0/0/0/0 0/0/0/0/0 0/0/0/0/0 0/0/4/0/0 0/0/0/0/0 0/0/0/0/0 0/0/0/0/0 
Rows,0/0/0/0/0 0/0/0/0/0 0/0/0/0/0 0/0/4/0/0 0/0/0/0/0 0/0/0/0/0 0/0/0/0/0 
Rows,-1/0/0/0/0 0/0/0/0/0 0/0/0/0/0 0/0/4/0/0 0/0/0/0/0 0/0/0/0/0 -1/0/0/0/0 
Rows,-1/0/0/0/0 -1/0/0/0/0 0/0/0/0/0 0/0/4/0/0 0/0/0/0/0 -1/0/0/0/0 -1/0/0/0/0 
